Model,Temperature,Q_Short,Mean,Median,Mode,Range,Standard Deviation
gpt-3.5-turbo,0.0,Competitive positioning,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.0,Employee structure focus,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.0,European market revenue,0.1,0.1,0.1,0.0,0.0
gpt-3.5-turbo,0.0,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.0,Funds allocation for analytics,0.4,0.4,0.4,0.0,0.0
gpt-3.5-turbo,0.0,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
gpt-3.5-turbo,0.0,Maximum annual interest rate,0.08,0.08,0.08,0.0,0.0
gpt-3.5-turbo,0.0,Maximum ownership percentage,0.2,0.2,0.2,0.0,0.0
gpt-3.5-turbo,0.0,Minimum ROI,0.24,0.2,0.2,0.09999999999999998,0.0547722557505166
gpt-3.5-turbo,0.0,Minimum revenue increase,0.05,0.05,0.05,0.0,0.0
gpt-3.5-turbo,0.0,Overall attractiveness,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.0,Overall performance,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.0,Potential market share,0.28,0.28,0.28,0.0,0.0
gpt-3.5-turbo,0.0,Potential net profit growth,0.1,0.1,0.1,0.0,0.0
gpt-3.5-turbo,0.0,Product focus,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.0,Strategic priority,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.0,Talent development strategy,0.888888888888889,0.8888888888888888,0.8888888888888888,0.0,1.2412670766236366e-16
gpt-3.5-turbo,0.0,TeleHealth platform success,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.0,Workforce increase for S&M,0.25,0.25,0.25,0.0,0.0
gpt-3.5-turbo,0.1,Competitive positioning,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.1,Employee structure focus,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.1,European market revenue,0.12000000000000002,0.1,0.1,0.1,0.044721359549995794
gpt-3.5-turbo,0.1,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.1,Funds allocation for analytics,0.4,0.4,0.4,0.0,0.0
gpt-3.5-turbo,0.1,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
gpt-3.5-turbo,0.1,Maximum annual interest rate,0.088,0.08,0.08,0.020000000000000004,0.010954451150103324
gpt-3.5-turbo,0.1,Maximum ownership percentage,0.2,0.2,0.2,0.0,0.0
gpt-3.5-turbo,0.1,Minimum ROI,0.24,0.2,0.2,0.09999999999999998,0.0547722557505166
gpt-3.5-turbo,0.1,Minimum revenue increase,0.05,0.05,0.05,0.0,0.0
gpt-3.5-turbo,0.1,Overall attractiveness,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.1,Overall performance,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.1,Potential market share,0.28,0.28,0.28,0.0,0.0
gpt-3.5-turbo,0.1,Potential net profit growth,0.1,0.1,0.1,0.0,0.0
gpt-3.5-turbo,0.1,Product focus,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.1,Strategic priority,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.1,Talent development strategy,0.888888888888889,0.8888888888888888,0.8888888888888888,0.0,1.2412670766236366e-16
gpt-3.5-turbo,0.1,TeleHealth platform success,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.1,Workforce increase for S&M,0.25,0.25,0.25,0.0,0.0
gpt-3.5-turbo,0.2,Competitive positioning,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.2,Employee structure focus,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.2,European market revenue,0.18,0.2,0.2,0.1,0.044721359549995794
gpt-3.5-turbo,0.2,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.2,Funds allocation for analytics,0.4,0.4,0.4,0.0,0.0
gpt-3.5-turbo,0.2,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
gpt-3.5-turbo,0.2,Maximum annual interest rate,0.092,0.1,0.1,0.020000000000000004,0.010954451150103324
gpt-3.5-turbo,0.2,Maximum ownership percentage,0.2,0.2,0.2,0.0,0.0
gpt-3.5-turbo,0.2,Minimum ROI,0.22000000000000003,0.2,0.2,0.09999999999999998,0.04472135954999579
gpt-3.5-turbo,0.2,Minimum revenue increase,0.05,0.05,0.05,0.0,0.0
gpt-3.5-turbo,0.2,Overall attractiveness,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.2,Overall performance,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.2,Potential market share,0.28400000000000003,0.28,0.28,0.019999999999999962,0.008944271909999142
gpt-3.5-turbo,0.2,Potential net profit growth,0.1,0.1,0.1,0.0,0.0
gpt-3.5-turbo,0.2,Product focus,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.2,Strategic priority,0.2,0.0,0.0,0.5,0.2738612787525831
gpt-3.5-turbo,0.2,Talent development strategy,0.888888888888889,0.8888888888888888,0.8888888888888888,0.0,1.2412670766236366e-16
gpt-3.5-turbo,0.2,TeleHealth platform success,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.2,Workforce increase for S&M,0.266,0.25,0.25,0.08000000000000002,0.03577708763999664
gpt-3.5-turbo,0.3,Competitive positioning,0.7,0.75,0.75,0.25,0.11180339887498948
gpt-3.5-turbo,0.3,Employee structure focus,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.3,European market revenue,0.126,0.1,0.1,0.1,0.0433589667773576
